blomen_essential,gene
FALSE,Prkag2
FALSE,Aebp1
FALSE,Clip2
FALSE,Eif4h
FALSE,Limk1
FALSE,Slc1a1
FALSE,Fktn
FALSE,Tgfbr1
FALSE,Dnm1
FALSE,Eng
FALSE,Kdm4c
FALSE,Kcnt1
FALSE,Mpdz
FALSE,Lhx3
FALSE,Glis3
FALSE,Setx
FALSE,Gata3
FALSE,Mapk8
TRUE,Micu1
FALSE,Bmpr1a
FALSE,Minpp1
FALSE,Pitx3
TRUE,Gbf1
FALSE,Acbd5
FALSE,Ebf3
TRUE,Smc3
TRUE,Shoc2
FALSE,Lgi1
FALSE,Trim37
TRUE,Med13
FALSE,Chrne
FALSE,Rai1
FALSE,B9d1
FALSE,Cntnap1
FALSE,Hdac5
FALSE,Prkar1a
TRUE,Ywhae
TRUE,Map2k6
FALSE,Foxn1
FALSE,Phf12
FALSE,Phox2b
FALSE,Gabra4
FALSE,Gnrhr
FALSE,Nfkb1
FALSE,Manba
FALSE,Elf2
FALSE,Cpe
FALSE,Clcn3
FALSE,Trim2
FALSE,Fbxw7
FALSE,Glrb
FALSE,Rapgef2
FALSE,Ufsp2
FALSE,Ppargc1a
FALSE,Zbtb16
TRUE,Hspa8
FALSE,Nrxn2
FALSE,Cckbr
FALSE,Folr1
FALSE,Cep164
FALSE,Il10ra
FALSE,Pdhx
FALSE,Slc1a2
FALSE,Madd
FALSE,Cd81
FALSE,Ndufs8
TRUE,Coq5
FALSE,Gli1
FALSE,Trpv4
FALSE,Cux2
FALSE,Kcna1
FALSE,Vdr
TRUE,Gapdh
TRUE,Tpi1
FALSE,Gnptab
FALSE,Cox6a1
FALSE,Cep85l
FALSE,Ust
FALSE,Ppard
FALSE,Oprm1
FALSE,Phactr1
FALSE,Glp1r
FALSE,Bach2
FALSE,Zfp451
TRUE,Ascc3
TRUE,Med23
FALSE,Nr2e1
TRUE,Hbs1l
FALSE,Zbtb24
FALSE,Phactr2
FALSE,Epm2a
FALSE,Pde10a
FALSE,Ppp2r5d
FALSE,Sema5a
FALSE,Ghr
TRUE,Hspa9
TRUE,Hmgcr
FALSE,Arsb
FALSE,Il12b
FALSE,Gabrg2
FALSE,Pde4d
FALSE,Prlr
FALSE,Fgf1
FALSE,Nr3c1
FALSE,Txndc15
FALSE,Ergic1
FALSE,Pdgfrb
TRUE,Timmdc1
FALSE,Crbn
FALSE,Ube3a
FALSE,Slc25a36
FALSE,Tfdp2
TRUE,Xrn1
FALSE,Pdcd10
FALSE,Fgf12
FALSE,Tfg
FALSE,Fxr1
FALSE,Cblb
FALSE,Bbx
FALSE,Plxna1
TRUE,Atp6v1a
FALSE,Acvr2b
TRUE,Wdr48
TRUE,Foxp1
TRUE,Eif4g1
FALSE,Lman2l
FALSE,Acvr1
FALSE,Itga4
FALSE,Ppm1g
FALSE,Ndufs7
FALSE,Tacr1
FALSE,Efemp1
FALSE,Reg1
FALSE,Stat1
FALSE,Gls
FALSE,St3gal5
TRUE,Taf1b
FALSE,Dcaf17
FALSE,Rab3gap1
FALSE,Slc25a12
TRUE,Orc4
FALSE,Atf2
FALSE,Tia1
FALSE,Kiss1r
TRUE,Nfe2l2
FALSE,Epha4
TRUE,Alms1
FALSE,Park7
FALSE,Oprd1
FALSE,Mecr
FALSE,Edem3
FALSE,Ash1l
FALSE,Mef2d
FALSE,Dock7
FALSE,Dnajc6
FALSE,Lepr
FALSE,Prdm2
FALSE,Nr5a2
TRUE,Rlf
TRUE,Akt3
TRUE,Sdhb
FALSE,Kdm5b
FALSE,Cr2
FALSE,Cd46
TRUE,Slc2a1
FALSE,Mpl
FALSE,Ptch2
FALSE,Abcd3
FALSE,Irf6
TRUE,Dhdds
FALSE,Arid1a
FALSE,Chrnb4
FALSE,Stag1
FALSE,Atf6
FALSE,Nrp2
FALSE,Creb1
FALSE,Klf7
FALSE,Cnr1
FALSE,Rab3gap2
FALSE,Ndufb3
FALSE,Satb2
FALSE,Klf9
TRUE,Ndufa8
FALSE,Nr4a3
TRUE,Ylpm1
FALSE,Vsx2
FALSE,Nek9
FALSE,Ift43
FALSE,Dnal1
FALSE,Irf2bpl
FALSE,Ttll5
TRUE,Dlst
FALSE,Dnmt3a
FALSE,Bcl11a
FALSE,Slc17a5
FALSE,Ogfrl1
FALSE,Ide
FALSE,Got1
FALSE,Hoxb8
TRUE,Kansl1
FALSE,Crhr1
FALSE,Msx2
FALSE,Tek
FALSE,Gria2
FALSE,Smad9
FALSE,Kbtbd7
FALSE,Sil1
FALSE,Nr2c1
FALSE,Adra1a
FALSE,Ppp3cc
TRUE,Tardbp
FALSE,Tbx2
FALSE,Tbx4
FALSE,Tshz3
FALSE,Lhx4
FALSE,Cd80
FALSE,Mapk8ip1
FALSE,Cry2
FALSE,Zmym2
FALSE,Ccr2
FALSE,Ghsr
TRUE,Pik3ca
TRUE,Pds5a
FALSE,Lrif1
FALSE,Cxcr4
TRUE,Acvr2a
FALSE,Flt3
FALSE,Ocrl
FALSE,Tbx22
TRUE,Copa
FALSE,Zfp644
FALSE,Bbs9
FALSE,Klhl7
TRUE,Hnrnpa2b1
FALSE,Twist1
FALSE,D630045J12Rik
FALSE,Neurog3
FALSE,Bicc1
FALSE,Egr2
TRUE,Cit
FALSE,Ift81
TRUE,Med13l
FALSE,Nr4a1
FALSE,Hoxc13
FALSE,Lrp1
FALSE,Ndufaf4
FALSE,Ttc21b
FALSE,Ago2
FALSE,Mc3r
FALSE,Slc12a5
FALSE,Ncoa3
FALSE,Vapb
FALSE,Stx16
FALSE,Iqsec2
TRUE,Usp9x
FALSE,Serpinb6a
FALSE,Sox4
FALSE,Atxn1
FALSE,Runx2
TRUE,Lrrfip1
FALSE,Myrf
TRUE,Cnot1
FALSE,Got2
FALSE,Irf1
FALSE,Upf3b
FALSE,Sox9
FALSE,Mboat7
FALSE,Oprl1
FALSE,Pax8
FALSE,Clpp
FALSE,Gria3
FALSE,C3
FALSE,Pank2
FALSE,Foxa2
FALSE,Pax1
FALSE,Napb
TRUE,Snrpb
FALSE,Flrt3
FALSE,Ovol2
FALSE,Pcsk2
TRUE,Max
